address,house_committee_id,jurisdiction,jurisdiction_source,minority_rss_url,minority_url,name,phone,rss_url,senate_committee_id,sub_address,sub_name,sub_phone,sub_thomas_id,sub_wikipedia,thomas_id,type,url,wikipedia
"1301 LHOB; Washington, DC 20515-6001",AG,"The House Committee on Agriculture has jurisdiction over federal agriculture policy and oversight of some federal agencies, and it can recommend funding appropriations for various governmental agencies, programs, and activities, as defined by House rules.",http://en.wikipedia.org/wiki/House_Committee_on_Agriculture,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,http://democrats.agriculture.house.gov/,House Committee on Agriculture,(202) 225-2171,http://agriculture.house.gov/rss.xml,,"1301 LHOB; Washington, DC 20515",Conservation and Forestry,(202) 225-2171,15,,HSAG,house,http://agriculture.house.gov/,
"1301 LHOB; Washington, DC 20515-6001",AG,"The House Committee on Agriculture has jurisdiction over federal agriculture policy and oversight of some federal agencies, and it can recommend funding appropriations for various governmental agencies, programs, and activities, as defined by House rules.",http://en.wikipedia.org/wiki/House_Committee_on_Agriculture,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,http://democrats.agriculture.house.gov/,House Committee on Agriculture,(202) 225-2171,http://agriculture.house.gov/rss.xml,,"1301 LHOB; Washington, DC 20515","Commodity Exchanges, Energy, and Credit",(202) 225-2171,22,,HSAG,house,http://agriculture.house.gov/,
"1301 LHOB; Washington, DC 20515-6001",AG,"The House Committee on Agriculture has jurisdiction over federal agriculture policy and oversight of some federal agencies, and it can recommend funding appropriations for various governmental agencies, programs, and activities, as defined by House rules.",http://en.wikipedia.org/wiki/House_Committee_on_Agriculture,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,http://democrats.agriculture.house.gov/,House Committee on Agriculture,(202) 225-2171,http://agriculture.house.gov/rss.xml,,"1301 LHOB; Washington, DC 20515",General Farm Commodities and Risk Management,(202) 225-2171,16,,HSAG,house,http://agriculture.house.gov/,
"1301 LHOB; Washington, DC 20515-6001",AG,"The House Committee on Agriculture has jurisdiction over federal agriculture policy and oversight of some federal agencies, and it can recommend funding appropriations for various governmental agencies, programs, and activities, as defined by House rules.",http://en.wikipedia.org/wiki/House_Committee_on_Agriculture,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,http://democrats.agriculture.house.gov/,House Committee on Agriculture,(202) 225-2171,http://agriculture.house.gov/rss.xml,,"1301 LHOB; Washington, DC 20515",Livestock and Foreign Agriculture,(202) 225-2171,29,,HSAG,house,http://agriculture.house.gov/,
"1301 LHOB; Washington, DC 20515-6001",AG,"The House Committee on Agriculture has jurisdiction over federal agriculture policy and oversight of some federal agencies, and it can recommend funding appropriations for various governmental agencies, programs, and activities, as defined by House rules.",http://en.wikipedia.org/wiki/House_Committee_on_Agriculture,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,http://democrats.agriculture.house.gov/,House Committee on Agriculture,(202) 225-2171,http://agriculture.house.gov/rss.xml,,"1301 LHOB; Washington, DC 20515","Biotechnology, Horticulture, and Research",(202) 225-2171,14,,HSAG,house,http://agriculture.house.gov/,
"1301 LHOB; Washington, DC 20515-6001",AG,"The House Committee on Agriculture has jurisdiction over federal agriculture policy and oversight of some federal agencies, and it can recommend funding appropriations for various governmental agencies, programs, and activities, as defined by House rules.",http://en.wikipedia.org/wiki/House_Committee_on_Agriculture,http://democrats.agriculture.house.gov/Rss.aspx?GroupID=1,http://democrats.agriculture.house.gov/,House Committee on Agriculture,(202) 225-2171,http://agriculture.house.gov/rss.xml,,"1301 LHOB; Washington, DC 20515",Nutrition,(202) 225-2171,03,,HSAG,house,http://agriculture.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"2362A RHOB; Washington, DC 20515","Agriculture, Rural Development, Food and Drug Administration, and Related Agencies",(202) 225-2638,01,,HSAP,house,http://appropriations.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"H310 CAPITOL; Washington, DC 20515","Commerce, Justice, Science, and Related Agencies",(202) 225-3351,19,,HSAP,house,http://appropriations.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"H405 CAPITOL; Washington, DC 20515",Defense,(202) 225-2847,02,,HSAP,house,http://appropriations.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"2362B RHOB; Washington, DC 20515","Energy and Water Development, and Related Agencies",(202) 225-3421,10,,HSAP,house,http://appropriations.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"2000 RHOB; Washington, DC 20515",Financial Services and General Government,(202) 225-7245,23,,HSAP,house,http://appropriations.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"2006 RHOB; Washington, DC 20515",Homeland Security,(202) 225-5834,15,,HSAP,house,http://appropriations.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"2007 RHOB; Washington, DC 20515","Interior, Environment, and Related Agencies",(202) 225-3081,06,,HSAP,house,http://appropriations.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"2358B RHOB; Washington, DC 20515","Labor, Health and Human Services, Education, and Related Agencies",(202) 225-3508,07,,HSAP,house,http://appropriations.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"HT2 CAPITOL; Washington, DC 20515",Legislative Branch,(202) 226-7252,24,,HSAP,house,http://appropriations.house.gov/,
"H305 CAPITOL; Washington, DC 20515-6015",AP,"The House Committee on Appropriations is responsible for setting specific expenditures of money by the government of the United States. As such, it is one of the most powerful of the committees, and its members are seen as influential. The bills passed by the committee are called appropriations bills.",http://en.wikipedia.org/wiki/House_Committee_on_Appropriations,http://democrats.appropriations.house.gov/rss.xml,http://democrats.appropriations.house.gov,House Committee on Appropriations,(202) 225-2771,http://appropriations.house.gov/news/rss.aspx,,"HVC227 CAPITOL; Washington, DC 20515","Military Construction, Veterans Affairs, and Related Agencies",(202) 225-3047,18,,HSAP,house,http://appropriations.house.gov/,
